Student_ID,Name,Gender,Age,Class,City,Attendance_Percentage,Mathematics,Science,English,Social_Studies,Computer_Science,Hindi
STU00261,Rahul Gupta,Female,16,9,Lucknow,86.9,70.0,100.0,68.0,45.0,41.0,51.0
STU00889,Karthik Kumar,Female,17,9,Indore,92.4,59.0,57.0,92.0,67.0,64.0,93.0
STU00299,Aditi Kapoor,Male,18,10,Lucknow,72.2,70.0,28.0,58.0,49.0,85.0,67.0
STU00648,Amit Mehta,Female,16,12,Nagpur,,63.0,39.0,51.0,64.0,69.0,47.0
STU00027,Rahul Rao,Male,14,10,Delhi,86.1,79.0,68.0,100.0,54.0,63.0,76.0
STU00023,Aditya Agarwal,Female,18,10,Kolkata,71.0,68.0,74.0,56.0,70.0,35.0,66.0
STU00940,Tanvi Gupta,Female,14,12,Bengaluru,82.1,38.0,82.0,61.0,40.0,32.0,67.0
STU00537,Shreya Mehta,Female,17,10,Bengaluru,89.2,,37.0,,88.0,57.0,
STU00334,Sanya Pandey,Female,14,9,Jaipur,91.7,95.0,78.0,50.0,49.0,72.0,48.0
STU00837,Kabir Kapoor,Female,15,11,Chandigarh,85.9,65.0,32.0,54.0,34.0,71.0,63.0
STU00808,Aditya Kumar,Male,16,12,Hyderabad,89.6,46.0,55.0,31.0,44.0,65.0,74.0
STU00122,Vihaan Chauhan,Male,18,11,Hyderabad,83.0,75.0,32.0,69.0,53.0,76.0,58.0
STU01157,Sanya Verma,Male,15,11,Chandigarh,89.3,75.0,35.0,46.0,39.0,71.0,60.0
STU01017,Vihaan Yadav,Male,16,11,Lucknow,68.4,100.0,51.0,19.0,,59.0,48.0
STU01094,Dhruv Patel,Male,15,10,Delhi,62.4,63.0,,69.0,38.0,67.0,53.0
STU00455,Rahul Verma,Female,15,10,Mumbai,92.2,64.0,50.0,63.0,46.0,81.0,67.0
STU00588,Aarav Reddy,Female,18,10,Jaipur,84.3,77.0,62.0,74.0,,52.0,84.0
STU00915,Pooja Agarwal,Male,18,9,Chennai,72.5,94.0,54.0,49.0,64.0,43.0,46.0
STU00190,Yash Patel,Male,18,10,Indore,77.2,30.0,36.0,39.0,38.0,54.0,
STU01001,Manoj Verma,Male,14,12,Pune,69.6,58.0,47.0,AB,57.0,73.0,78.0
STU00171,Neha Patel,Male,18,11,Indore,75.7,-5,57.0,39.0,100.0,57.0,57.0
STU00155,Dhruv Gupta,Female,15,9,Nagpur,88.1,60.0,85.0,62.0,64.0,42.0,60.0
STU00177,Aryan Iyer,Female,16,11,Ahmedabad,88.7,76.0,53.0,66.0,39.0,63.0,30.0
STU00372,Neha Patel,Female,16,9,Nagpur,89.3,60.0,63.0,56.0,65.0,71.0,68.0
STU00608,Aditya Gupta,Male,18,12,Jaipur,77.5,83.0,57.0,39.0,31.0,73.0,33.0
STU01076,Karthik Reddy,Male,14,11,Patna,86.2,70.0,53.0,80.0,50.0,62.0,41.0
STU00721,Nisha Mehta,Male,16,12,Kolkata,71.2,58.0,54.0,34.0,42.0,57.0,41.0
STU00797,Yash Sharma,Male,16,9,Bhopal,86.4,96.0,61.0,,73.0,58.0,84.0
STU00627,Aditya Kapoor,Male,18,12,Chennai,76.5,100.0,54.0,59.0,53.0,68.0,62.0
STU01153,Rakesh Verma,Male,14,9,Kolkata,100.0,76.0,37.0,56.0,45.0,34.0,47.0
STU00920,Ishaan Joshi,Male,16,12,Patna,64.6,100.0,27.0,90.0,73.0,76.0,69.0
STU00593,Ananya Reddy,Male,18,10,Indore,86.8,77.0,60.0,55.0,59.0,87.0,65.0
STU00325,Amit Bhat,Female,14,12,Pune,54.0,66.0,59.0,54.0,74.0,58.0,50.0
STU00701,Suresh Singh,Female,18,12,Mumbai,66.4,42.0,,53.0,92.0,79.0,69.0
STU00772,Vihaan Joshi,Female,17,11,Mumbai,79.9,77.0,47.0,84.0,47.0,69.0,47.0
STU00942,Krishna Bhat,Male,17,10,Kolkata,100.0,63.0,23.0,22.0,56.0,70.0,48.0
STU01107,Pooja Gupta,Female,16,9,Jaipur,100.0,55.0,,66.0,50.0,99.0,37.0
STU00362,Vikram Gupta,Female,14,12,Mumbai,81.9,79.0,65.0,62.0,70.0,75.0,83.0
STU00734,Neha Nair,Female,16,11,Jaipur,92.2,37.0,50.0,33.0,7.0,73.0,34.0
STU00999,Riya Agarwal,Male,16,10,Jaipur,80.8,78.0,89.0,91.0,59.0,64.0,31.0
STU00866,Nisha Mishra,Female,16,12,Ahmedabad,60.5,,65.0,55.0,81.0,43.0,100.0
STU00485,Rakesh Sharma,Male,18,11,Jaipur,82.9,43.0,76.0,,61.0,64.0,49.0
STU00756,Karthik Singh,Female,16,12,Bengaluru,100.0,,43.0,99.0,,27.0,57.0
STU00923,Tanvi Chauhan,Male,17,10,Indore,78.7,52.0,76.0,89.0,49.0,71.0,70.0
STU00067,Vihaan Joshi,Male,16,10,Indore,90.3,,36.0,67.0,38.0,77.0,58.0
STU00662,Kavya Pandey,F,14,12,Jaipur,61.0,51.0,69.0,36.0,45.0,100.0,42.0
STU00182,Ishaan Pandey,Male,18,12,Delhi,68.6,80.0,75.0,53.0,47.0,77.0,
STU00985,Vikram Kumar,Female,16,12,Lucknow,88.4,80.0,37.0,81.0,42.0,89.0,76.0
STU00743,Ananya Pandey,Male,15,11,Lucknow,83.3,55.0,15.0,49.0,76.0,55.0,41.0
STU00656,Sanya Reddy,Female,14,12,Patna,98.7,100.0,79.0,81.0,38.0,60.0,46.0
STU00289,Deepak Mehta,Female,14,10,Delhi,81.3,77.0,52.0,54.0,76.0,59.0,72.0
STU00755,Suresh Yadav,Female,16,11,Ahmedabad,86.2,89.0,76.0,31.0,43.0,70.0,39.0
STU00937,Pooja Mishra,Male,15,10,Patna,89.9,54.0,65.0,32.0,62.0,52.0,44.0
STU00318,Krishna Yadav,Female,16,12,Nagpur,100.0,66.0,84.0,54.0,99.0,100.0,60.0
STU00260,Ishita Joshi,Male,17,12,Indore,88.9,7.0,35.0,50.0,52.0,70.0,51.0
STU01199,Deepak Patel,Male,17,9,Nagpur,,78.0,68.0,87.0,89.0,67.0,58.0
STU00637,Deepak Yadav,Male,16,9,Kolkata,81.1,96.0,67.0,48.0,65.0,52.0,
STU00592,Anjali Iyer,Male,14,12,Ahmedabad,97.7,39.0,59.0,74.0,26.0,100.0,
STU00045,Shreya Bhat,Male,17,11,Bhopal,88.2,53.0,43.0,65.0,29.0,92.0,59.0
STU00244,Karthik Mehta,Male,16,10,Jaipur,98.1,100.0,91.0,80.0,,82.0,72.0
STU00080,Sanya Kapoor,Female,17,11,Lucknow,88.3,74.0,46.0,64.0,54.0,84.0,100.0
STU01145,Deepak Iyer,Female,15,9,Chennai,99.3,59.0,95.0,67.0,87.0,66.0,
STU00431,Amit Mishra,Male,14,12,Chennai,89.2,63.0,100.0,45.0,86.0,69.0,38.0
STU01005,Nisha Chauhan,Male,15,10,Pune,100.0,66.0,84.0,63.0,64.0,48.0,90.0
STU01095,Priya Joshi,Male,16,12,Mumbai,56.0,63.0,55.0,74.0,41.0,76.0,88.0
STU00651,Shreya Iyer,Male,15,9,Chennai,74.4,53.0,33.0,55.0,61.0,63.0,50.0
STU00118,Ishita Malhotra,Male,15,9,Nagpur,76.3,67.0,78.0,36.0,49.0,56.0,
STU00663,Suresh Kumar,Female,17,10,Indore,72.5,71.0,70.0,54.0,52.0,75.0,31.0
STU00354,Aarav Joshi,Male,17,12,Bhopal,78.9,57.0,45.0,67.0,,59.0,51.0
